overall_text,label
"Llevamos muchos años usando Freshdesk, sin duda en mi opción nº1 uno.",1
"Pros:Se sei alla ricerca di un software completo per l’assistenza clienti tramite chat sul sito e per la gestione di un eventuale sistema di ticketing come lo abbiamo noi, Zendesk è una buona soluzione. Ci ha permesso di mantenere una buona sinergia con i nostri processi aziendali e allo stesso tempo ci ha permesso di sostituire il nostro servizio di ticketing in house con un software decisamente più completo e funzionale",1
"Pros:Been using it for bug tracking, project and ticket tracking. Nice GUI and user friendly.",1
Pros:It's intuitive featuresEasy to use functions,1
IT has improved our customer satisfaction and we have seen great adoption internally. This buy in and results has created good value for us that we are learning how to convert to sustainable revenue.,1
"Much more speed and efficiency in our support work flow : Automation, assignements, grouping, tagging, SLA, Monitoring, Canned Responses, Integrated Widget, Email Forwarding, Facebook integration, etc. Looking forward to integrate the telephony also :-)",1
"Integration with task management and collaboration tool, CRM, Support...",1
Pros:Easy to use and easy to learn.Can do things faster,1
"Good experience, use daily so easy to navigate. Upgrades frequesntly so may not always have access.",1
Pros:Support team is wonderful; most of the functions are very intuitive; love the customization that is available; love how the notification system works. love the phone app to stay on top of things.,1
"Immediately notified when being used, notifies us even when we are not online.This is a huge asset to keeping connected with people who buy our products.",1
Pros:- very easy to set up and fast time to benefits. We use JIRA for issue tracking so it's a perfect way of keeping track of the correlation between issue logging and support delivery,0
"Pros:I struggle to find good things to say. It works and rarely has performance problems. If you need very basic support ticketing and are just starting out, you could use it and be successful. We did. But the functionality and support for those organizations between startup and large corporation is nil. If we were a very large organization, I could see it being a valuable product.",0
"I think Freshdesk is great if you're looking for a low-cost platform for customer service, it solved our issue with redirecting clients to a specific rep for better support. But, when it comes to integrations, I think they have a lot to improve on.",1
Getting exact information for every one of the tickets raised by clients and assisting us with doing course cause investigation for the equivalent so we can help the client appropriately. Zendesk is the ideal programming for organizations who straightforwardly manage client. The update highlight is additionally great as it helps us to remember our chance to interface with the clients,1
"Overall my experience with Jira service management has been really good. It is known for its flexibility, customization options, and integration capabilities.",1
"Pros:Automation is one of the coolest feature in this software. We used to manually assign the tickets which ended up in lots of tickets being unnoticed or unassigned because of the human error; however, since we have automated 90 % of our volume, we have saved not only time but reduced our error rate drastically.",1
"Pros:Freshdesk is easy to set up and modify, depending on the needs of different departments. In our setup customers (students, teachers, staff) just write an email and the rest is taken care of by the system and the agents.",1
"Pros:Integrations with other parts of Zoho, with Zoho Forms and email to ticket it is simple of users to raise a ticket and easy to automate ticket raising from monitoring systems.",1
Pros:The program is very easy to use even for those who are not experts. Easy to use and intuitive. Indispensable for those who want to offer professional support for their business,1
"Pros:La Personalizzazione di viste, il collegamento tra vari reparti",1
"I can confidently say that Zendesk is the best in its business, nothing comes even closer. 100% recommended!",1
I can provide the Estimates & Invoices to the customers easily. And the dashboard is one of the best one to know the business targets.,1
I use it for sending newsletters and also promoting my business through campaigning and creating customer chat room,1
Product from you can control your customer escalation,1
Pros:This tool helps us in day-to-day customer support. We can able to track the tickets and this helps us to know which agent's performance was good. The resolutions we give to the customers can be recorded and made available in our KBase.,1
"Overall Freshdesk has been a great addition to the business. I think that the support has been good, though sometimes a little slow - occasionally disappointing if they don't know the answer, or can't get you an answer, you get shrugged off or forgotten about.",1
"very easy to use, way better than trying to handle this with gmail.",1
"Due to our growth in business, it was getting very hard to keep track of all the support tickets on a spreadsheet. Freshdesk is an easy to use software with a clean interface and provides all the features required. Great platform to provide support to customers",1
Pros:Then that’s because one of the best ticketing system but I have our use. Not only do I use it in my professional life but I am consistently using it in my personal life as well. It helps keep tickets organized so you know which ones that you need to reply to and it’s a great system of checks and balances. You’ll be able to manage your tickets in an efficient way with Zendesk due to the fact that you get notifications to alert you when a ticket is in your queue. Those notifications are vital because it keeps you on track and ensures that every ticket gets answered in a timely fashion.,1
"Pros:the portal is so easy to use, with automated emails from a client that open a ticket and pre-configured answers to save time",1
Pros:The package gives a lot of features that are required for good customer service. It helps in daily management of all inquaieries,1
quite decent,1
"Overall, my experience with Freshdesk for CRM was a positive one. The platform is easy to use and provides an intuitive interface for tracking customer support requests. Additionally, the various features available are useful for streamlining customer service operations while providing customers with a better overall experience. While there are some areas where improvements could be made in order to provide more comprehensive capabilities, the cost of subscription may not make it feasible for smaller businesses.",1
Pros:Zendesk Just Works. it has so many customization options to let it do Exactly what yo need it to do!,1
The benefits of using Zendesk include receiving discounts once a subscription is selected and billed annually. Zendesk is available with integrative API's and other software applications. Zendesk is available upon request as a demo for organizations. Zendesk is a good tool that allows organizations to communicate with customers. Zendesk is a good tool that offers services such as chat and telephone communication to resolve ticket issues regarding purchases and transactions.,0
Pros:The interface is user-friendly and accessible. Everything you need is in one place and the integration with other third-party software.,1
"We are ensuring solid quick response to client support tickets, resolving fast and keeping communication with customers at a top level.",1
"I used Freshdesk to maintain a base of clients for our development company. I managed contacts and sending out offers, and tracking all that was easy using Freshdesk. Some of my colleagues used the ticketing system for our support pipeline and they were in love with all the options the system provided them with. Overall, from my personal experience and after talking to my colleagues, I believe Freshdesk is one of the best (if not the best) complete solutions out there.",1
Good,1
"Pros:This is by far the easiest to set up, easiest to manage CRM software! It has a variety of features to cover nearly all of your customer service needs.",1
My request being handled in a timely manner and the ease of the system.,1
The software is good and has big potential. I send a lot of feedback. Unfortunately bug fix process is super slow. I wish company will be grateful for the bug report which I provide for free. Thanks.,0
"Communication has improved, less user inquiries, the available information is easily accessible and the overall time gain to focus on other matters is a great improvement.",1
My team enjoys this tool a lot and we surely feel this is the most suited tool for the workflow we have. Highly recommend for helpdesk in IT,1
"Freshdesk is proficient in making communications reliable, more so through the call center system.Further, Freshdesk is designed to manage the relationships that clients have, and hence, there is consistent collaboration.",1
Grazie a freshdesk abbiamo migliorato in modo significativo la gestione del servizio clienti. Non avrei mai pensato che un software gratuito potesse offrire un servizio così efficiente e rapido.,1
"Pros:The solution helps a lot to keep tracking of customer tickets, it has various integration options, which allows automations and eliminates manual processing.",1
"Pros:is a great choice for either internal helpdesk or external service desk scenarios. It integrates with Facebook, Google Analytics, Twilio, and Twitter to extend functionality and provide gateways for users to interact with agents using Voice-over-IP (VoIP) or social media, as well as to provide data analysis to managers monitoring customer interactions and service-level agreements (SLAs). All of that and a nice price tag earn it an Editors' Choice award in our helpdesk category, along with HappyFox and Vivantio Pro.",1
Don't waste your time and purchase it if you are considering.,1
Pros:Zoho desk was good for live chat options and ticket support for those who need both in one place.,1
"Zendesk chats allow us to address customer queries while on the website, which allow us to help customer to finalize a purchase that otherwise would be lost. It is also useful to rise customer satisfaction as customers do not have to wait on the telephone or write emails to receive an answer.",1
Pros:Another great solution from Zoho. Allows clients to record their issues with notarised updates,1
"Overall, Jira is best IT management and ticket tool. We can manager all the IT related work on jira. It's very simple and user friendly UI interface.",1
FreshDesk has streamlined agent actions and provided a clean and holistic overview of the product for me (the product manager). The agents are able to work together with better ease and be more efficient with the email notifications on ticket actions. The FD support team is incredibly responsive and good at providing alternative solutions if the product doesn't currently support what is being asked.,1
Zoho Desk est excellent en soi et encore meilleur lorsqu'il est synchronisé avec Zoho CRM.,1
Pros:Super easy to set up and use!Great features for the price.Love that we are only charged per agent.,1
I would highly recommend Freshdesk if you're looking for a scaleable support solution at a reasonable price.,1
"I would like the application to have more search filters, because when handling many customers, finding one in particular, can be time consuming. Integrating all the programs we needed was a slow process and the technical team did not provide the expected help, so we had to hire an external service to solve the problem.",1
"Overall we are very happy with Jira Service Desk; it has allowed us to provide a higher level of support to users than our previous service desk, and non-profit pricing was very beneficial for us. The software is usable in its default setup but we have found that there is still plenty of customisation that can be done if needed to suit more complex requirements.",1
Very unique business need with very annoying users; looked at a lot of products including multiple customized options.Finally landed on Zoho.,1
"Freshdesk is an easy winner in the help desk software category.It is obvious that the guys behind it are serious about making it a great product first, and making money from it later.It is not complex and cumbersome as other products in the category, and on the other hand, it feels very mature and thought through.It is also quite clear that the design and development team work great together, otherwise they couldn't have reached such an astounding level of user experience.For the avoidance of doubt, I would say I am not affiliated with Freshdesk in any way - although I wish I was...Highly recommended.",1
Overall it was a solid solution for our team.,1
Wounderful very easy to use....,1
Pros:ResponsiveFriendlyEasy to useLots of functionality to assist with the daily grindAllows for add-ons to improve performance,1
"We picked Zoho because of the worth and in this manner the indisputable reality that we were at that point familiar with their product arrangement as we utilize their Survey programming too. Things were getting lost or overlooked about and it had been making me insane. Zoho has a great set-up of items and this one isn't any special case! Simple to utilize (the essentials at any rate). What's more, it's very reasonable.",1
Pros:Un très bon produit pour la gestion des tâches très simple et très professionnel.,1
"Pros:Jira allows us to track individual issues across the organization accurately by assigning unique identifiers.It allows us to effectively manage our issues using groupings(epics), Releases, and sprints.",1
Allows us to quickly receive and manage Customer Contact information and supportrequests.,1
"Customers are important to companies, so this tool allows customers to respond more quickly",1
"Great tool, ease of use and the project management experience is amazing.",1
I have 4 different accounts for different countries.I am very pleased with the performance and management of the systems for managing my clients and my application users.,1
"Simplicity, visibility of ticket status and agent performance.",1
"Pros:it's easy to understand, to tech Agent and it's highly configurable and modulable. It helps us to operate our customer service with focus and quality.",1
Insights of tickets,1
Great pricing for an excellent product.,1
Great functionality and ability to customise all aspects of the ticketing system,1
"Pros:Ability to get queued to the correct department, and attach all the needed text/files",1
"Pros:Some of the best features of Zendesk are the email management, ticket management, alert certification and email management. Zendesk is like having a personal desk assistant through a program that has multiple program offerings that are pretty superb. You’re allowed to use the program to manage alerts and to manage multiple types of issues in regards to tracking emails and customer issues and resolutions",1
"It's useful for monitoring progress and coordinating the many tasks that have been delegated. In fact, the tool's progress track can be used to make estimates for the deadlines themselves.",1
"I used to use Gmail, Facebook etc to get support tickets, inquiries etc from my company clients and it used to be messy and I saw Freshdesk on Capterra and thought about giving it a try - and it has been one of the best decision I have ever taken. I will even be suggesting Freshdesk to my clients from now on - It's simply amazing. Tracking of support tickets, inquiries, complaints etc are made easy by Freshdesk. I highly recommend it for everyone who wants to increase the efficiency of their business works(Customer Support).",1
"Overall good, I still like the old Green design layout, the new one is very generic.",1
"Pros:If you're looking for an incredible help desk solution, look no further than Zoho Desk. This software is absolutely packed with features that will make your life easier, from automated ticket routing to powerful reporting tools. And if you ever have a question or need help getting started, the Zoho Desk team is always happy to lend a hand. I can't recommend this software highly enough!",1
"This is one of the best ITSM tool. Aviable as SaaS and can be easily integrated with the SSO. Self service is a good feature .Its just the regular upgrades and getting the data/configuration missing from the tenants during the upgrade is a concern.No need to backup , high availability and best resiliency..this is one of the best ITSM tool in the market.",1
"Really complete customer success product. Allows for Chat, Email and Phone support. Would recommend to all software companies.",1
I've been using it for a while and so far it's been easy to implement and team members get used to it quickly.,1
very helpful,1
Overall we are very pleased with this product.,1
"Pros:Un outil essentiel pour les responsables de marketing digital dans le retail, offrant une plateforme complète de gestion des interactions clients qui facilite la résolution rapide des problèmes et améliore l'expérience globale du service client",1
"Freshdesk took our business to another great level, for we have completed eliminated human mistakes, absences, lost tickets from our operations. We are on the way to the perfect customer support experience and Freshdesk has assisted us in this, all the way!",1
Overall it's been great. They respond to email and phone based support requests quickly and their support people know the product and know what they're doing. You can tell by the evolution of the UI over the years we've been using this product that they do continuous development and are working actively to maintain their system in a market place that changes all the time. They actively reach out to their customers and ask for feedback and suggestions as well. This product feels like a big product like desk of the larger ticket systems but it also feels small because they are east to reach out to and talk to you like real people.,1
better service to our endusers and better overview of issues and severity,0
"Pros:It's absolutely incredible to come across such software, it's the ideal software for remote customer service and proper customers query management, keeps you ahead of your game.",1
"We're more than happy with Zendesk as our main customer support software. We have a team of 5 - 10 support personnel altogether that mainly work with email and phone support. It logs activities automatically and sends them to our CRM with close to no issues. It's also got good performance and great uptime, and a good number of automation and customization options. Great tool overall",1
"Monitoring tickets, activity, and agent reports are easy to navigate. There's a delay from time to time, but that didn't lessen the experience we had, and I can vouch that it's a good system to use for sourcing and outsourcing data everywhere.",1
"Pros:I have been using Zoho Desk for a while and it's a game changer. Easy to use and with amazing support.Once you get used to it, you will love it.Using Desk changed our company for good since we can have in one place, the way we interact with our customers and vendors.",1
